"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2019","1,451.00","1,492.00","1,511.00","1,356.00","195.01K","-3.14%"
"05/01/2019","1,498.00","1,401.00","1,502.00","1,267.00","190.17K","6.47%"
"04/01/2019","1,407.00","1,474.00","1,483.00","1,369.00","174.57K","-4.35%"
"03/01/2019","1,471.00","1,535.00","1,545.00","1,463.00","137.97K","-4.29%"
"02/01/2019","1,537.00","1,572.00","1,613.00","1,519.00","161.33K","-2.23%"
"01/01/2019","1,572.00","1,532.00","1,573.00","1,507.00","117.79K","3.08%"
"12/01/2018","1,525.00","1,611.00","1,619.00","1,468.00","160.14K","-4.63%"
"11/01/2018","1,599.00","1,675.00","1,730.00","1,597.00","115.97K","-4.54%"
"10/01/2018","1,675.00","1,535.00","1,792.00","1,534.00","227.57K","8.70%"
"09/01/2018","1,541.00","1,504.00","1,548.00","1,465.00","116.56K","2.66%"
"08/01/2018","1,501.00","1,634.00","1,654.00","1,497.00","210.63K","-8.31%"
"07/01/2018","1,637.00","1,688.00","1,705.00","1,610.00","128.27K","-3.14%"
"06/01/2018","1,690.00","1,746.00","1,751.00","1,665.00","178.28K","-3.54%"
"05/01/2018","1,752.00","1,759.00","1,845.00","1,724.00","161.66K","-0.23%"
"04/01/2018","1,756.00","1,740.00","1,787.00","1,722.00","178.03K","1.80%"
"03/01/2018","1,725.00","1,724.00","1,788.00","1,671.00","149.80K","0.06%"
"02/01/2018","1,724.00","1,747.00","1,791.00","1,711.00","162.82K","-2.16%"
"01/01/2018","1,762.00","1,723.00","1,794.00","1,672.00","148.21K","2.56%"
"12/01/2017","1,718.00","1,730.00","1,758.00","1,676.00","142.12K","-0.46%"
"11/01/2017","1,726.00","1,890.00","1,890.00","1,699.00","155.64K","-8.09%"
"10/01/2017","1,878.00","1,942.00","1,999.00","1,873.00","142.95K","-4.57%"
"09/01/2017","1,968.00","2,071.00","2,078.00","1,914.00","169.95K","-4.88%"
"08/01/2017","2,069.00","2,114.00","2,173.00","2,030.00","170.98K","-2.54%"
"07/01/2017","2,123.00","2,148.00","2,168.00","2,069.00","135.52K","-1.21%"
"06/01/2017","2,149.00","2,015.00","2,177.00","1,985.00","201.24K","7.72%"
"05/01/2017","1,995.00","1,987.00","2,042.00","1,890.00","153.44K","2.52%"
"04/01/2017","1,946.00","2,171.00","2,213.00","1,871.00","242.72K","-9.45%"
"03/01/2017","2,149.00","2,140.00","2,218.00","2,117.00","132.12K","0.28%"
"02/01/2017","2,143.00","2,245.00","2,279.00","2,093.00","196.37K","-3.56%"
"01/01/2017","2,222.00","2,138.00","2,268.00","2,115.00","166.91K","3.93%"
"12/01/2016","2,138.00","2,020.00","2,143.00","1,969.00","164.99K","5.53%"
"11/01/2016","2,026.00","2,180.00","2,199.00","2,009.00","174.56K","-7.23%"
"10/01/2016","2,184.00","2,024.00","2,191.00","1,978.00","182.94K","8.98%"
"09/01/2016","2,004.00","1,825.00","2,028.00","1,825.00","187.49K","9.63%"
"08/01/2016","1,828.00","1,865.00","1,869.00","1,768.00","160.09K","-1.08%"
"07/01/2016","1,848.00","1,722.00","1,866.00","1,720.00","143.70K","7.63%"
"06/01/2016","1,717.00","1,660.00","1,748.00","1,634.00","208.92K","4.19%"
"05/01/2016","1,648.00","1,577.00","1,707.00","1,569.00","148.61K","3.78%"
"04/01/2016","1,588.00","1,542.00","1,602.00","1,481.00","201.22K","5.80%"
"03/01/2016","1,501.00","1,410.00","1,534.00","1,366.00","157.41K","6.23%"
"02/01/2016","1,413.00","1,410.00","1,480.00","1,342.00","182.57K","2.24%"
"01/01/2016","1,382.00","1,535.00","1,544.00","1,339.00","136.05K","-9.67%"
"12/01/2015","1,530.00","1,525.00","1,575.00","1,496.00","144.76K","3.52%"
"11/01/2015","1,478.00","1,638.00","1,684.00","1,475.00","153.60K","-10.04%"
"10/01/2015","1,643.00","1,561.00","1,664.00","1,543.00","190.90K","5.52%"
"09/01/2015","1,557.00","1,604.00","1,614.00","1,497.00","146.52K","-3.35%"
"08/01/2015","1,611.00","1,655.00","1,749.00","1,594.00","188.28K","-1.65%"
"07/01/2015","1,638.00","1,784.00","1,792.00","1,624.00","129.25K","-8.18%"
"06/01/2015","1,784.00","1,668.00","1,828.00","1,668.00","166.87K","9.31%"
"05/01/2015","1,632.00","1,781.00","1,803.00","1,566.00","137.79K","-8.93%"
"04/01/2015","1,792.00","1,766.00","1,850.00","1,743.00","145.65K","3.64%"
"03/01/2015","1,729.00","1,907.00","1,923.00","1,685.00","150.52K","-9.33%"
"02/01/2015","1,907.00","1,965.00","2,077.00","1,862.00","155.83K","-0.94%"
"01/01/2015","1,925.00","1,919.00","2,030.00","1,858.00","105.26K","0.47%"
