"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2023","3,817.00","3,432.00","3,880.00","3,373.00","","0.00%"
"10/01/2023","3,817.00","3,432.00","3,880.00","3,373.00","457.25K","11.67%"
"09/01/2023","3,418.00","3,637.00","3,763.00","3,398.00","","0.00%"
"09/01/2023","3,418.00","3,626.00","3,874.00","3,398.00","260.45K","-6.05%"
"08/01/2023","3,638.00","3,551.00","3,677.00","3,266.00","","1.00%"
"08/01/2023","3,602.00","3,551.00","3,652.00","3,237.00","353.52K","1.52%"
"07/03/2023","3,548.00","3,357.00","3,602.00","3,260.00","","0.00%"
"07/01/2023","3,548.00","3,306.00","3,602.00","3,230.00","237.23K","5.82%"
"06/01/2023","3,353.00","3,017.00","3,364.00","2,991.00","","1.05%"
"06/01/2023","3,318.00","3,017.00","3,324.00","2,991.00","332.75K","10.34%"
"05/01/2023","3,007.00","2,937.00","3,079.00","2,857.00","","-0.40%"
"05/01/2023","3,019.00","2,937.00","3,085.00","2,857.00","382.39K","2.79%"
"04/03/2023","2,937.00","2,927.00","2,995.00","2,814.00","","0.00%"
"04/01/2023","2,937.00","2,891.00","2,995.00","2,814.00","572.42K","0.14%"
"03/01/2023","2,933.00","2,798.00","2,963.00","2,604.00","","1.35%"
"03/01/2023","2,894.00","2,798.00","2,918.00","2,604.00","560.14K","3.76%"
"02/01/2023","2,789.00","2,572.00","2,812.00","2,540.00","","0.00%"
"02/01/2023","2,789.00","2,624.00","2,812.00","2,576.00","586.09K","8.06%"
"01/03/2023","2,581.00","2,587.00","2,699.00","2,507.00","","-1.83%"
"01/01/2023","2,629.00","2,593.00","2,700.00","2,540.00","281.43K","1.12%"
"12/01/2022","2,600.00","2,504.00","2,671.00","2,468.00","","-0.04%"
"12/01/2022","2,601.00","2,504.00","2,670.00","2,470.00","298.38K","4.12%"
"11/01/2022","2,498.00","2,339.00","2,577.00","2,317.00","","0.00%"
"11/01/2022","2,498.00","2,343.00","2,577.00","2,329.00","630.41K","6.98%"
"10/03/2022","2,335.00","2,358.00","2,422.00","2,275.00","","-0.34%"
"10/01/2022","2,343.00","2,348.00","2,406.00","2,284.00","306.01K","-0.47%"
"09/01/2022","2,354.00","2,402.00","2,429.00","2,192.00","","0.60%"
"09/01/2022","2,340.00","2,402.00","2,429.00","2,190.00","383.62K","-3.03%"
"08/01/2022","2,413.00","2,328.00","2,469.00","2,259.00","","0.00%"
"08/01/2022","2,413.00","2,374.00","2,469.00","2,314.00","683.67K","3.87%"
"07/01/2022","2,323.00","2,328.00","2,410.00","2,236.00","","-2.11%"
"07/01/2022","2,373.00","2,328.00","2,443.00","2,236.00","393.11K","1.41%"
"06/01/2022","2,340.00","2,496.00","2,541.00","2,330.00","","0.00%"
"06/01/2022","2,340.00","2,516.00","2,559.00","2,330.00","555.51K","-6.25%"
"05/02/2022","2,496.00","2,570.00","2,646.00","2,391.00","","-0.76%"
"05/01/2022","2,515.00","2,570.00","2,646.00","2,411.00","401.81K","-2.03%"
"04/01/2022","2,567.00","2,640.00","2,700.00","2,478.00","","0.00%"
"04/01/2022","2,567.00","2,683.00","2,700.00","2,478.00","457.05K","-3.13%"
"03/01/2022","2,650.00","2,520.00","2,710.00","2,453.00","","-1.38%"
"03/01/2022","2,687.00","2,520.00","2,712.00","2,471.00","406.83K","6.25%"
"02/01/2022","2,529.00","2,533.00","2,838.00","2,515.00","","0.00%"
"02/01/2022","2,529.00","2,581.00","2,838.00","2,515.00","481.31K","0.04%"
"01/03/2022","2,528.00","2,540.00","2,695.00","2,408.00","","-1.86%"
"01/01/2022","2,576.00","2,575.00","2,733.00","2,454.00","289.56K","2.22%"
"12/01/2021","2,520.00","2,364.00","2,576.00","2,333.00","","-1.29%"
"12/01/2021","2,553.00","2,364.00","2,597.00","2,333.00","279.21K","8.82%"
"11/01/2021","2,346.00","2,548.00","2,602.00","2,338.00","","0.00%"
"11/01/2021","2,346.00","2,586.00","2,604.00","2,338.00","535.49K","-7.78%"
"10/01/2021","2,544.00","2,641.00","2,792.00","2,499.00","","-1.40%"
"10/01/2021","2,580.00","2,664.00","2,812.00","2,557.00","292.76K","-2.71%"
"09/01/2021","2,652.00","2,540.00","2,717.00","2,517.00","","-0.93%"
"09/01/2021","2,677.00","2,540.00","2,717.00","2,517.00","297.36K","5.39%"
"08/02/2021","2,540.00","2,359.00","2,681.00","2,333.00","","0.00%"
"08/01/2021","2,540.00","2,416.00","2,681.00","2,391.00","564.15K","7.35%"
"07/01/2021","2,366.00","2,389.00","2,455.00","2,232.00","","-2.31%"
"07/01/2021","2,422.00","2,389.00","2,499.00","2,268.00","344.07K","1.38%"
"06/01/2021","2,389.00","2,417.00","2,471.00","2,334.00","","0.00%"
"06/01/2021","2,389.00","2,460.00","2,505.00","2,334.00","435.79K","-0.95%"
"05/03/2021","2,412.00","2,389.00","2,552.00","2,317.00","","-1.79%"
"05/01/2021","2,456.00","2,389.00","2,590.00","2,317.00","337.24K","3.11%"
"04/01/2021","2,382.00","2,361.00","2,537.00","2,332.00","","0.00%"
"04/01/2021","2,382.00","2,392.00","2,537.00","2,360.00","429.96K","1.45%"
"03/01/2021","2,348.00","2,616.00","2,667.00","2,336.00","","-1.55%"
"03/01/2021","2,385.00","2,616.00","2,667.00","2,372.00","371.57K","-8.41%"
"02/01/2021","2,604.00","2,535.00","2,625.00","2,371.00","","0.00%"
"02/01/2021","2,604.00","2,471.00","2,625.00","2,371.00","442.70K","2.88%"
"01/04/2021","2,531.00","2,624.00","2,661.00","2,463.00","","2.30%"
"01/01/2021","2,474.00","2,545.00","2,589.00","2,421.00","203.32K","-4.96%"
"12/01/2020","2,603.00","2,749.00","2,765.00","2,439.00","","2.68%"
"12/01/2020","2,535.00","2,749.00","2,765.00","2,409.00","239.52K","-7.45%"
"11/02/2020","2,739.00","2,271.00","2,821.00","2,237.00","","0.00%"
"11/01/2020","2,739.00","2,300.00","2,821.00","2,247.00","488.64K","19.45%"
"10/01/2020","2,293.00","2,526.00","2,527.00","2,280.00","","-0.52%"
"10/01/2020","2,305.00","2,497.00","2,510.00","2,292.00","241.05K","-9.47%"
"09/01/2020","2,546.00","2,664.00","2,708.00","2,521.00","","0.75%"
"09/01/2020","2,527.00","2,664.00","2,708.00","2,508.00","258.64K","-4.79%"
"08/03/2020","2,654.00","2,404.00","2,673.00","2,355.00","","0.00%"
"08/01/2020","2,654.00","2,399.00","2,673.00","2,355.00","439.10K","10.58%"
"07/01/2020","2,400.00","2,182.00","2,419.00","2,092.00","","0.04%"
"07/01/2020","2,399.00","2,182.00","2,415.00","2,092.00","266.71K","9.74%"
"06/01/2020","2,186.00","2,444.00","2,509.00","2,172.00","","0.00%"
"06/01/2020","2,186.00","2,400.00","2,475.00","2,172.00","387.93K","-10.92%"
"05/01/2020","2,454.00","2,408.00","2,487.00","2,318.00","","1.91%"
"05/01/2020","2,408.00","2,408.00","2,487.00","2,292.00","230.83K","-0.25%"
"04/01/2020","2,414.00","2,234.00","2,425.00","2,215.00","","0.00%"
"04/01/2020","2,414.00","2,245.00","2,425.00","2,215.00","313.24K","7.34%"
"03/02/2020","2,249.00","2,681.00","2,690.00","2,183.00","","-0.44%"
"03/01/2020","2,259.00","2,681.00","2,690.00","2,201.00","449.28K","-15.46%"
"02/03/2020","2,672.00","2,753.00","2,935.00","2,646.00","","0.00%"
"02/01/2020","2,672.00","2,774.00","2,935.00","2,646.00","490.31K","-3.78%"
"01/02/2020","2,777.00","2,524.00","2,859.00","2,467.00","","-0.86%"
"01/01/2020","2,801.00","2,532.00","2,874.00","2,480.00","293.32K","10.28%"
"12/02/2019","2,540.00","2,564.00","2,655.00","2,388.00","","-0.04%"
"12/01/2019","2,541.00","2,564.00","2,655.00","2,404.00","268.91K","-1.05%"
"11/01/2019","2,568.00","2,403.00","2,721.00","2,386.00","","0.00%"
"11/01/2019","2,568.00","2,446.00","2,694.00","2,430.00","512.28K","6.87%"
"10/01/2019","2,403.00","2,453.00","2,558.00","2,391.00","","-1.76%"
"10/01/2019","2,446.00","2,463.00","2,568.00","2,414.00","304.14K","0.16%"
"09/03/2019","2,442.00","2,210.00","2,514.00","2,187.00","","-0.57%"
"09/01/2019","2,456.00","2,210.00","2,513.00","2,187.00","370.45K","10.53%"
"08/01/2019","2,222.00","2,338.00","2,366.00","2,165.00","","0.00%"
"08/01/2019","2,222.00","2,395.00","2,411.00","2,165.00","555.44K","-5.25%"
"07/01/2019","2,345.00","2,435.00","2,589.00","2,332.00","","-2.29%"
"07/01/2019","2,400.00","2,435.00","2,589.00","2,389.00","327.86K","-1.03%"
"06/03/2019","2,425.00","2,411.00","2,552.00","2,307.00","","0.00%"
"06/01/2019","2,425.00","2,410.00","2,552.00","2,321.00","416.77K","1.04%"
"05/01/2019","2,400.00","2,365.00","2,478.00","2,226.00","","-0.25%"
"05/01/2019","2,406.00","2,365.00","2,472.00","2,226.00","341.29K","1.99%"
"04/01/2019","2,359.00","2,290.00","2,443.00","2,234.00","","0.00%"
"04/01/2019","2,359.00","2,275.00","2,434.00","2,234.00","532.14K","3.46%"
"03/01/2019","2,280.00","2,241.00","2,286.00","2,113.00","","0.44%"
"03/01/2019","2,270.00","2,241.00","2,279.00","2,128.00","316.42K","1.02%"
"02/01/2019","2,247.00","2,173.00","2,369.00","2,165.00","","0.00%"
"02/01/2019","2,247.00","2,219.00","2,369.00","2,207.00","468.68K","3.64%"
