Dagsetning;Evra EUR miðgengi (Meðaltal mánaðar);Evra EUR kaupgengi (Meðaltal mánaðar);Evra EUR sölugengi (Meðaltal mánaðar);Bandaríkjadalur USD miðgengi (Meðaltal mánaðar);Bandaríkjadalur USD kaupgengi (Meðaltal mánaðar);Bandaríkjadalur USD sölugengi (Meðaltal mánaðar);Sterlingspund GBP miðgengi (Meðaltal mánaðar);Sterlingspund GBP kaupgengi (Meðaltal mánaðar);Sterlingspund GBP sölugengi (Meðaltal mánaðar);Norsk króna NOK miðgengi (Meðaltal mánaðar);Norsk króna NOK kaupgengi (Meðaltal mánaðar);Norsk króna NOK sölugengi (Meðaltal mánaðar);Sænsk króna SEK miðgengi (Meðaltal mánaðar);Sænsk króna SEK kaupgengi (Meðaltal mánaðar);Sænsk króna SEK sölugengi (Meðaltal mánaðar);
Maí 2017;113,74;113,42;114,05;102,98;102,73;103,22;133,11;132,79;133,43;12,095;12,060;12,131;11,715;11,681;11,749;
Apríl 2017;118,41;118,08;118,74;110,44;110,17;110,70;139,51;139,17;139,85;12,868;12,830;12,906;12,344;12,308;12,380;
Mars 2017;117,12;116,80;117,45;109,59;109,33;109,85;135,24;134,91;135,56;12,884;12,846;12,921;12,293;12,257;12,329;
Febrúar 2017;118,68;118,35;119,01;111,54;111,27;111,80;139,28;138,94;139,62;13,391;13,352;13,431;12,527;12,491;12,564;
Janúar 2017;121,44;121,10;121,78;114,39;114,12;114,66;141,01;140,67;141,35;13,493;13,453;13,532;12,773;12,736;12,811;
Desember 2016;118,75;118,42;119,08;112,53;112,26;112,80;140,52;140,18;140,86;13,155;13,116;13,194;12,223;12,187;12,259;
Nóvember 2016;121,35;121,01;121,69;112,29;112,02;112,56;139,53;139,19;139,87;13,362;13,323;13,401;12,322;12,286;12,358;
Október 2016;125,87;125,52;126,22;114,13;113,86;114,40;140,92;140,58;141,26;13,982;13,941;14,023;12,972;12,934;13,010;
September 2016;128,72;128,36;129,08;114,82;114,55;115,09;150,96;150,59;151,32;13,995;13,954;14,037;13,453;13,414;13,492;
Ágúst 2016;132,13;131,76;132,50;117,85;117,57;118,13;154,56;154,18;154,93;14,202;14,160;14,243;13,929;13,888;13,970;
Júlí 2016;135,04;134,66;135,42;122,01;121,72;122,30;160,49;160,10;160,87;14,412;14,369;14,454;14,256;14,215;14,298;
Júní 2016;138,55;138,17;138,94;123,33;123,04;123,62;175,26;174,83;175,68;14,849;14,806;14,893;14,850;14,807;14,893;
Maí 2016;139,75;139,36;140,14;123,65;123,36;123,95;179,86;179,42;180,29;15,009;14,965;15,053;15,043;14,999;15,087;
Apríl 2016;140,37;139,98;140,76;123,83;123,53;124,12;177,17;176,74;177,60;15,056;15,012;15,100;15,250;15,206;15,295;
Mars 2016;140,95;140,56;141,34;126,97;126,67;127,28;180,69;180,25;181,13;14,951;14,907;14,995;15,176;15,132;15,220;
Febrúar 2016;142,32;141,92;142,72;128,27;127,96;128,57;183,63;183,18;184,07;14,897;14,853;14,941;15,138;15,093;15,182;
Janúar 2016;141,52;141,13;141,92;130,26;129,95;130,57;187,62;187,16;188,07;14,747;14,704;14,790;15,251;15,206;15,295;
Desember 2015;141,30;140,91;141,70;130,06;129,74;130,37;195,03;194,56;195,51;14,964;14,920;15,008;15,286;15,242;15,331;
Nóvember 2015;140,79;140,40;141,18;131,11;130,80;131,42;199,34;198,86;199,82;15,203;15,158;15,248;15,119;15,075;15,163;
Október 2015;142,00;141,60;142,40;126,39;126,09;126,69;193,85;193,37;194,32;15,291;15,246;15,336;15,197;15,153;15,241;
September 2015;143,87;143,47;144,27;128,15;127,84;128,45;196,73;196,26;197,21;15,456;15,411;15,502;15,312;15,267;15,356;
Ágúst 2015;146,81;146,40;147,22;131,79;131,47;132,10;205,54;205,04;206,04;15,978;15,931;16,025;15,431;15,386;15,476;
Júlí 2015;147,46;147,05;147,87;134,01;133,69;134,33;208,55;208,04;209,05;16,496;16,448;16,545;15,712;15,666;15,758;
Júní 2015;148,30;147,89;148,72;132,28;131,97;132,60;205,67;205,17;206,17;16,927;16,877;16,977;15,984;15,937;16,031;
Maí 2015;147,80;147,39;148,21;132,52;132,20;132,83;204,72;204,23;205,22;17,564;17,513;17,616;15,894;15,848;15,940;
Apríl 2015;146,76;146,35;147,17;136,15;135,83;136,47;203,56;203,06;204,05;17,260;17,209;17,311;15,746;15,700;15,792;
Mars 2015;148,18;147,76;148,59;136,82;136,50;137,15;204,99;204,49;205,49;17,149;17,099;17,199;16,044;15,997;16,091;
Febrúar 2015;149,98;149,56;150,40;132,03;131,71;132,34;202,34;201,85;202,83;17,389;17,338;17,440;15,804;15,758;15,851;
Janúar 2015;152,90;152,47;153,33;131,57;131,26;131,88;199,32;198,84;199,80;17,094;17,043;17,144;16,233;16,186;16,281;
Desember 2014;154,16;153,73;154,59;124,96;124,67;125,26;195,53;195,06;196,01;17,188;17,137;17,238;16,423;16,375;16,471;
Nóvember 2014;154,17;153,74;154,60;123,61;123,32;123,90;195,04;194,57;195,52;18,147;18,094;18,201;16,691;16,642;16,740;
Október 2014;153,08;152,65;153,50;120,82;120,53;121,11;194,12;193,65;194,59;18,416;18,362;18,470;16,674;16,625;16,722;
September 2014;153,61;153,18;154,04;119,01;118,73;119,29;194,15;193,67;194,62;18,776;18,721;18,831;16,713;16,664;16,762;
Ágúst 2014;154,42;153,99;154,85;116,01;115,73;116,29;193,71;193,24;194,18;18,731;18,676;18,786;16,814;16,765;16,863;
Júlí 2014;154,75;154,32;155,18;114,27;114,00;114,54;195,11;194,64;195,59;18,443;18,389;18,497;16,760;16,711;16,809;
Júní 2014;154,56;154,13;154,99;113,71;113,44;113,98;192,23;191,77;192,70;18,791;18,736;18,846;16,994;16,945;17,044;
Maí 2014;154,83;154,40;155,26;112,69;112,42;112,96;189,88;189,42;190,34;18,983;18,927;19,039;17,146;17,096;17,196;
Apríl 2014;155,18;154,75;155,61;112,34;112,07;112,61;187,97;187,52;188,43;18,810;18,755;18,865;17,189;17,139;17,239;
Mars 2014;156,04;155,60;156,47;112,89;112,62;113,16;187,64;187,18;188,09;18,813;18,758;18,868;17,600;17,548;17,651;
Febrúar 2014;155,87;155,43;156,30;114,10;113,83;114,37;188,87;188,41;189,33;18,640;18,585;18,694;17,573;17,522;17,625;
Janúar 2014;157,76;157,31;158,20;115,81;115,53;116,08;190,76;190,29;191,22;18,779;18,724;18,834;17,851;17,799;17,903;
Desember 2013;160,82;160,38;161,27;117,38;117,10;117,66;192,32;191,85;192,79;19,122;19,066;19,178;17,960;17,908;18,013;
Nóvember 2013;164,11;163,65;164,57;121,61;121,32;121,90;195,83;195,36;196,31;19,987;19,928;20,046;18,478;18,424;18,532;
Október 2013;164,70;164,24;165,16;120,78;120,49;121,07;194,40;193,93;194,87;20,276;20,216;20,335;18,830;18,775;18,886;
September 2013;161,56;161,11;162,02;121,03;120,74;121,32;191,93;191,46;192,39;20,270;20,210;20,329;18,628;18,574;18,683;
Ágúst 2013;159,32;158,87;159,76;119,65;119,37;119,94;185,49;185,04;185,94;20,055;19,996;20,114;18,311;18,258;18,365;
Júlí 2013;160,32;159,87;160,76;122,53;122,24;122,82;186,06;185,61;186,51;20,336;20,277;20,396;18,512;18,458;18,566;
Júní 2013;160,59;160,14;161,04;121,82;121,53;122,11;188,41;187,95;188,87;20,742;20,681;20,803;18,495;18,441;18,549;
Maí 2013;157,24;156,81;157,68;121,15;120,86;121,43;185,03;184,59;185,48;20,779;20,718;20,840;18,332;18,278;18,385;
Apríl 2013;154,73;154,30;155,16;118,84;118,56;119,12;181,84;181,40;182,28;20,524;20,464;20,584;18,348;18,294;18,401;
Mars 2013;162,58;162,13;163,04;125,28;124,98;125,58;188,87;188,41;189,33;21,725;21,661;21,789;19,486;19,429;19,543;
Febrúar 2013;170,64;170,17;171,12;127,69;127,38;127,99;197,76;197,28;198,24;22,968;22,900;23,035;20,049;19,991;20,108;
Janúar 2013;171,00;170,53;171,48;128,66;128,35;128,97;205,45;204,95;205,95;23,159;23,091;23,227;19,829;19,771;19,887;
Desember 2012;165,70;165,24;166,17;126,41;126,11;126,71;204,09;203,60;204,59;22,515;22,449;22,581;19,145;19,089;19,201;
Nóvember 2012;163,24;162,78;163,69;127,21;126,90;127,51;203,09;202,60;203,59;22,238;22,173;22,303;18,966;18,910;19,021;
Október 2012;161,02;160,57;161,47;124,14;123,85;124,44;199,66;199,17;200,14;21,743;21,679;21,807;18,697;18,642;18,751;
September 2012;157,95;157,51;158,39;122,84;122,55;123,13;197,89;197,41;198,37;21,356;21,293;21,418;18,589;18,535;18,643;
Ágúst 2012;149,07;148,65;149,48;120,18;119,90;120,47;188,95;188,50;189,41;20,359;20,300;20,419;18,007;17,955;18,060;
Júlí 2012;154,83;154,40;155,26;125,87;125,57;126,17;196,24;195,76;196,71;20,758;20,697;20,819;18,107;18,054;18,160;
Júní 2012;159,83;159,39;160,28;127,53;127,22;127,83;198,28;197,80;198,77;21,186;21,124;21,249;18,003;17,951;18,056;
Maí 2012;162,70;162,25;163,15;127,06;126,76;127,36;202,29;201,80;202,78;21,488;21,424;21,551;18,099;18,046;18,152;
Apríl 2012;167,03;166,56;167,49;126,75;126,45;127,05;203,14;202,65;203,63;22,067;22,003;22,132;18,836;18,781;18,891;
Mars 2012;166,81;166,35;167,27;126,32;126,02;126,62;199,84;199,36;200,33;22,157;22,092;22,222;18,771;18,716;18,826;
Febrúar 2012;163,22;162,77;163,68;123,34;123,04;123,63;194,90;194,43;195,37;21,597;21,534;21,661;18,503;18,449;18,558;
Janúar 2012;159,73;159,28;160,17;123,65;123,36;123,95;191,85;191,39;192,32;20,802;20,741;20,863;18,054;18,001;18,106;
